地點,開始時間,結束時間,平均溫度,最高溫度,最低溫度,降雨機率(%),天氣現象,天氣代碼
臺東縣,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,22,23,21,0,多雲,04
花蓮縣,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,21,22,20,10,多雲時陰,05
花蓮縣,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,19,20,19,10,陰時多雲,06
花蓮縣,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,20,21,19,20,陰時多雲,06
花蓮縣,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,20,20,19,20,多雲,04
花蓮縣,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,21,23,19,10,陰時多雲,06
花蓮縣,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,20,21,19,20,多雲時晴,03
花蓮縣,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,22,25,19,0,多雲,04
花蓮縣,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,21,22,20,0,多雲時晴,03
花蓮縣,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,22,24,20,0,陰時多雲短暫雨,10
花蓮縣,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,21,22,20,0,多雲時陰短暫雨,09
花蓮縣,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,22,23,20,0,多雲時陰短暫雨,09
花蓮縣,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,20,21,20,0,多雲短暫雨,08
花蓮縣,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,22,24,20,0,多雲時晴,03
花蓮縣,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,21,22,20,0,多雲,04
澎湖縣,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,20,21,20,0,晴時多雲,02
澎湖縣,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,20,20,19,10,晴時多雲,02
澎湖縣,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,20,21,19,10,多雲時晴,03
澎湖縣,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,20,20,20,10,晴時多雲,02
澎湖縣,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,21,22,20,0,晴時多雲,02
澎湖縣,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,20,20,20,0,晴時多雲,02
澎湖縣,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,22,23,20,0,晴時多雲,02
澎湖縣,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,20,21,20,0,晴時多雲,02
澎湖縣,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,21,22,20,0,多雲時陰,05
澎湖縣,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,20,20,20,0,陰時多雲,06
澎湖縣,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,21,22,20,0,多雲時晴,03
澎湖縣,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,20,20,20,0,晴時多雲,02
澎湖縣,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,21,23,20,0,晴時多雲,02
澎湖縣,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,20,21,20,0,多雲時陰,05
基隆市,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,19,19,19,30,陰短暫雨,11
基隆市,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,18,19,18,40,陰短暫雨,11
基隆市,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,19,20,18,30,陰短暫雨,11
基隆市,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,19,19,18,60,陰短暫雨,11
基隆市,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,20,22,18,50,陰時多雲短暫雨,10
基隆市,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,20,20,19,30,多雲短暫雨,08
基隆市,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,22,24,19,0,多雲短暫雨,08
基隆市,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,20,21,19,0,陰時多雲短暫雨,10
基隆市,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,20,21,19,0,多雲時陰短暫雨,09
基隆市,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,19,20,19,0,陰時多雲短暫雨,10
基隆市,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,21,22,19,0,多雲時陰短暫雨,09
基隆市,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,19,20,19,0,多雲短暫雨,08
基隆市,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,22,24,19,0,晴時多雲,02
基隆市,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,20,21,19,0,晴時多雲,02
新竹市,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,20,21,19,10,晴時多雲,02
新竹市,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,18,19,17,10,晴時多雲,02
新竹市,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,19,21,17,10,晴時多雲,02
新竹市,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,18,19,17,10,晴時多雲,02
新竹市,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,21,24,17,0,晴時多雲,02
新竹市,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,18,20,17,0,晴時多雲,02
新竹市,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,22,26,17,0,晴時多雲,02
新竹市,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,19,21,18,0,晴時多雲,02
新竹市,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,20,22,18,0,多雲時晴,03
新竹市,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,19,20,18,0,晴時多雲,02
新竹市,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,20,22,18,0,晴時多雲,02
新竹市,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,18,19,17,0,晴時多雲,02
新竹市,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,21,24,17,0,晴時多雲,02
新竹市,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,19,20,18,0,晴時多雲,02
嘉義市,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,23,25,20,0,晴時多雲,02
嘉義市,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,17,20,16,10,晴時多雲,02
嘉義市,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,21,25,16,10,晴時多雲,02
嘉義市,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,18,20,16,10,晴時多雲,02
嘉義市,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,22,26,16,0,晴時多雲,02
嘉義市,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,18,21,16,0,晴時多雲,02
嘉義市,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,23,27,16,0,晴時多雲,02
嘉義市,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,18,22,17,0,晴時多雲,02
嘉義市,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,22,26,17,0,晴時多雲,02
嘉義市,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,19,22,17,0,晴時多雲,02
嘉義市,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,22,26,17,0,多雲時晴,03
嘉義市,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,19,22,18,0,晴時多雲,02
嘉義市,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,23,28,17,0,晴時多雲,02
嘉義市,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,19,23,17,0,晴時多雲,02
臺北市,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,20,21,19,10,多雲時陰,05
臺北市,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,19,19,18,10,多雲,04
臺北市,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,19,20,18,30,陰時多雲短暫雨,10
臺北市,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,18,19,18,30,陰短暫雨,11
臺北市,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,21,23,18,20,多雲時陰,05
臺北市,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,20,21,19,20,晴時多雲,02
臺北市,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,24,27,19,0,晴時多雲,02
臺北市,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,21,23,19,0,晴時多雲,02
臺北市,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,21,22,19,0,多雲短暫雨,08
臺北市,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,20,21,19,0,多雲短暫雨,08
臺北市,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,21,22,19,0,多雲短暫雨,08
臺北市,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,20,21,19,0,多雲時晴,03
臺北市,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,23,26,19,0,晴時多雲,02
臺北市,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,21,22,20,0,晴時多雲,02
高雄市,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,24,24,23,0,晴時多雲,02
高雄市,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,20,23,19,10,晴時多雲,02
高雄市,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,22,25,19,10,晴時多雲,02
高雄市,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,21,23,19,10,晴時多雲,02
高雄市,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,23,25,19,0,晴時多雲,02
高雄市,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,21,24,20,0,晴時多雲,02
高雄市,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,24,26,20,0,晴時多雲,02
高雄市,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,22,24,20,0,晴時多雲,02
高雄市,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,24,26,20,0,多雲時晴,03
高雄市,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,22,24,20,0,晴時多雲,02
高雄市,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,24,26,20,0,晴時多雲,02
高雄市,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,22,24,20,0,晴時多雲,02
高雄市,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,24,27,20,0,晴時多雲,02
高雄市,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,22,25,20,0,晴時多雲,02
新北市,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,19,20,19,10,多雲時陰,05
新北市,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,19,19,18,10,多雲,04
新北市,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,19,20,18,30,陰時多雲短暫雨,10
新北市,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,19,19,18,30,陰短暫雨,11
新北市,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,21,23,18,20,多雲時陰,05
新北市,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,20,21,20,20,晴時多雲,02
新北市,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,23,26,19,0,晴時多雲,02
新北市,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,21,23,20,0,晴時多雲,02
新北市,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,21,22,20,0,多雲短暫雨,08
新北市,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,20,21,19,0,多雲短暫雨,08
新北市,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,21,22,19,0,多雲時晴,03
新北市,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,20,20,19,0,多雲時晴,03
新北市,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,23,26,19,0,晴時多雲,02
新北市,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,21,22,19,0,晴時多雲,02
臺中市,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,23,25,21,0,晴時多雲,02
臺中市,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,18,21,17,10,晴時多雲,02
臺中市,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,21,24,17,10,晴時多雲,02
臺中市,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,18,20,17,10,晴時多雲,02
臺中市,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,22,26,17,0,晴時多雲,02
臺中市,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,19,21,17,0,晴時多雲,02
臺中市,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,23,27,17,0,晴時多雲,02
臺中市,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,20,22,18,0,晴時多雲,02
臺中市,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,22,25,18,0,晴時多雲,02
臺中市,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,19,21,18,0,晴時多雲,02
臺中市,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,22,26,18,0,晴時多雲,02
臺中市,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,20,22,18,0,晴時多雲,02
臺中市,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,23,27,18,0,晴時多雲,02
臺中市,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,20,22,18,0,晴時多雲,02
臺南市,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,22,23,21,0,晴時多雲,02
臺南市,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,18,21,17,10,晴時多雲,02
臺南市,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,21,24,17,10,晴時多雲,02
臺南市,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,19,21,18,10,晴時多雲,02
臺南市,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,22,25,18,0,晴時多雲,02
臺南市,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,20,22,18,0,晴時多雲,02
臺南市,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,22,25,18,0,晴時多雲,02
臺南市,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,20,22,19,0,晴時多雲,02
臺南市,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,22,25,19,0,晴時多雲,02
臺南市,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,20,22,19,0,晴時多雲,02
臺南市,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,22,25,19,0,多雲時晴,03
臺南市,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,20,22,19,0,晴時多雲,02
臺南市,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,23,26,19,0,晴時多雲,02
臺南市,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,21,23,19,0,晴時多雲,02
桃園市,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,19,19,18,10,多雲時陰,05
桃園市,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,18,18,17,10,多雲,04
桃園市,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,19,20,17,10,陰時多雲,06
桃園市,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,18,18,17,30,多雲時陰短暫雨,09
桃園市,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,21,23,17,10,多雲時晴,03
桃園市,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,19,20,18,0,晴時多雲,02
桃園市,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,23,26,18,0,晴時多雲,02
桃園市,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,20,21,19,0,晴時多雲,02
桃園市,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,20,22,19,0,多雲短暫雨,08
桃園市,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,19,20,18,0,多雲短暫雨,08
桃園市,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,20,22,18,0,晴時多雲,02
桃園市,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,19,19,18,0,晴時多雲,02
桃園市,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,22,26,18,0,晴時多雲,02
桃園市,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,20,21,18,0,晴時多雲,02
